N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
16,10,26,Ne,481.114,18.429,calculated,7751.911,0.7088,calculated,7341.894,18.7585,calculated,26.000516496,19.784,calculated
15,11,26,Na,-6860.78,3.502,calculated,8004.2013,0.1347,calculated,9353.7631,3.5018,calculated,25.992634649,3.759,calculated
14,12,26,Mg,-16214.544,0.029,calculated,8333.8711,0.0011,calculated,-4004.4042,0.0629,calculated,25.982592972,0.031,calculated
13,13,26,Al,-12210.139,0.066,calculated,8149.7653,0.0026,calculated,-5069.1361,0.0849,calculated,25.986891876,0.071,calculated
12,14,26,Si,-7141.003,0.108,calculated,7924.7083,0.0041,calculated,-18114.0,196.0,estimated,25.992333818,0.115,calculated
11,15,26,P,10973.0,196.0,estimated,7198.0,8.0,estimated,-16707.0,631.0,estimated,26.01178,210.0,estimated
10,16,26,S,27680.0,600.0,estimated,6525.0,23.0,estimated,,,absent,26.029716,644.0,estimated
19,8,27,O,44670.0,500.0,estimated,6185.0,19.0,estimated,19536.0,514.0,estimated,27.047955,537.0,estimated
18,9,27,F,25133.478,120.198,calculated,6879.6662,4.4518,calculated,18082.568,150.6211,calculated,27.026981897,129.037,calculated
17,10,27,Ne,7050.91,90.77,calculated,7520.4151,3.3619,calculated,12568.7005,90.8467,calculated,27.007569462,97.445,calculated
16,11,27,Na,-5517.791,3.726,calculated,7956.9467,0.138,calculated,9068.8037,3.7266,calculated,26.994076408,4.0,calculated
15,12,27,Mg,-14586.594,0.047,calculated,8263.8525,0.0018,calculated,2610.2694,0.0669,calculated,26.984340647,0.05,calculated
14,13,27,Al,-17196.864,0.047,calculated,8331.5533,0.0018,calculated,-4812.3583,0.0964,calculated,26.981538408,0.05,calculated
13,14,27,Si,-12384.505,0.107,calculated,8124.342,0.004,calculated,-11725.473,9.0013,calculated,26.986704687,0.115,calculated
12,15,27,P,-659.032,9.001,calculated,7661.0894,0.3334,calculated,-18150.0,400.0,estimated,26.999292499,9.662,calculated
11,16,27,S,17491.0,400.0,estimated,6960.0,15.0,estimated,,,absent,27.018777,430.0,estimated
20,8,28,O,52080.0,699.0,estimated,5988.0,25.0,estimated,18676.0,709.0,estimated,28.05591,750.0,estimated
19,9,28,F,33403.796,120.347,calculated,6626.8567,4.2981,calculated,22104.0579,174.2886,calculated,28.035860448,129.198,calculated
18,10,28,Ne,11299.738,126.068,calculated,7388.3463,4.5024,calculated,12288.0534,126.4833,calculated,28.012130767,135.339,calculated
17,11,28,Na,-988.315,10.246,calculated,7799.2644,0.3659,calculated,14031.6303,10.2498,calculated,27.998939,11.0,calculated
16,12,28,Mg,-15019.946,0.261,calculated,8272.4531,0.0093,calculated,1830.774,0.2653,calculated,27.983875426,0.28,calculated
15,13,28,Al,-16850.719,0.049,calculated,8309.8969,0.0018,calculated,4642.0776,0.0486,calculated,27.981910009,0.052,calculated
14,14,28,Si,-21492.79711,0.00051,calculated,8447.7445,0.0002,calculated,-14344.9407,1.1473,calculated,27.97692653442,0.00055,calculated
13,15,28,P,-7147.856,1.147,calculated,7907.4842,0.041,calculated,-11221.0593,160.0041,calculated,27.99232646,1.231,calculated
12,16,28,S,4073.203,160.0,calculated,7478.7911,5.7143,calculated,-24197.0,525.0,estimated,28.004372762,171.767,calculated
11,17,28,Cl,28270.0,500.0,estimated,6587.0,18.0,estimated,,,absent,28.030349,537.0,estimated
20,9,29,F,40150.19,525.363,calculated,6444.0314,18.116,calculated,21750.3873,546.2212,calculated,29.043103,564.0,calculated
19,10,29,Ne,18399.803,149.505,calculated,7167.0673,5.1553,calculated,15719.8092,149.6847,calculated,29.019753,160.5,calculated
18,11,29,Na,2679.994,7.337,calculated,7682.1522,0.253,calculated,13292.3538,7.3447,calculated,29.002877091,7.876,calculated
17,12,29,Mg,-10612.36,0.345,calculated,8113.5317,0.0119,calculated,7595.4023,0.4873,calculated,28.988607163,0.369,calculated
16,13,29,Al,-18207.762,0.345,calculated,8348.4647,0.0119,calculated,3687.3192,0.3447,calculated,28.980453164,0.37,calculated
15,14,29,Si,-21895.08154,0.00056,calculated,8448.6361,0.0002,calculated,-4942.2325,0.3589,calculated,28.97649466434,0.0006,calculated
14,15,29,P,-16952.849,0.359,calculated,8251.2368,0.0124,calculated,-13858.4257,13.0459,calculated,28.981800368,0.385,calculated
13,16,29,S,-3094.423,13.041,calculated,7746.3826,0.4497,calculated,-17117.0,189.0,estimated,28.996678,14.0,calculated
12,17,29,Cl,14022.0,189.0,estimated,7129.0,7.0,estimated,-23947.0,478.0,estimated,29.015053,203.0,estimated
11,18,29,Ar,37969.0,439.0,estimated,6276.0,15.0,estimated,,,absent,29.040761,471.0,estimated
21,9,30,F,48960.0,500.0,estimated,6205.0,17.0,estimated,25680.0,561.0,estimated,30.052561,537.0,estimated
20,10,30,Ne,23280.12,253.25,calculated,7034.5317,8.4417,calculated,14805.4501,253.2946,calculated,30.024992235,271.875,calculated
19,11,30,Na,8474.67,4.727,calculated,7501.9685,0.1576,calculated,17356.0423,4.9011,calculated,30.009097931,5.074,calculated
18,12,30,Mg,-8881.373,1.295,calculated,8054.425,0.0432,calculated,6982.744,2.3287,calculated,29.990465454,1.39,calculated
