N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
91,55,146,Cs,-55310.38,2.893,calculated,8155.4365,0.0198,calculated,9555.8882,3.3918,calculated,145.940621867,3.106,calculated
90,56,146,Ba,-64866.269,1.77,calculated,8215.5293,0.0121,calculated,4354.9052,2.4366,calculated,145.9303632,1.9,calculated
89,57,146,La,-69221.174,1.675,calculated,8239.9988,0.0115,calculated,6404.6947,14.7146,calculated,145.925688017,1.797,calculated
88,58,146,Ce,-75625.868,14.665,calculated,8278.5081,0.1004,calculated,1047.6178,32.4842,calculated,145.918812294,15.743,calculated
87,59,146,Pr,-76673.486,34.356,calculated,8280.325,0.2353,calculated,4252.43,34.3686,calculated,145.91768763,36.882,calculated
86,60,146,Nd,-80925.916,1.273,calculated,8304.0927,0.0087,calculated,-1471.556,4.1194,calculated,145.913122459,1.366,calculated
85,61,146,Pm,-79454.36,4.275,calculated,8288.655,0.0293,calculated,1542.0,3.0,calculated,145.91470224,4.589,calculated
84,62,146,Sm,-80996.36,3.045,calculated,8293.8581,0.0209,calculated,-3878.7573,5.8685,calculated,145.913046835,3.269,calculated
83,63,146,Eu,-77117.603,6.009,calculated,8261.9327,0.0412,calculated,-1031.7798,7.075,calculated,145.917210852,6.451,calculated
82,64,146,Gd,-76085.823,4.076,calculated,8249.5072,0.0279,calculated,-8322.1791,44.7488,calculated,145.918318513,4.376,calculated
81,65,146,Tb,-67763.644,44.86,calculated,8187.1474,0.3073,calculated,-5208.7165,45.158,calculated,145.927252739,48.159,calculated
80,66,146,Dy,-62554.928,6.695,calculated,8146.1128,0.0459,calculated,-11316.7007,9.3917,calculated,145.932844526,7.187,calculated
79,67,146,Ho,-51238.227,6.587,calculated,8063.2426,0.0451,calculated,-6916.2074,9.3987,calculated,145.944993503,7.071,calculated
78,68,146,Er,-44322.019,6.705,calculated,8010.5127,0.0459,calculated,-13267.0,200.0,estimated,145.952418357,7.197,calculated
77,69,146,Tm,-31055.0,200.0,estimated,7914.0,1.0,estimated,,,absent,145.966661,215.0,estimated
94,53,147,I,-31200.0,300.0,estimated,8001.0,2.0,estimated,11199.0,361.0,estimated,146.966505,322.0,estimated
93,54,147,Xe,-42400.0,200.0,estimated,8072.0,1.0,estimated,9520.0,200.0,estimated,146.954482,215.0,estimated
92,55,147,Cs,-51920.073,8.383,calculated,8131.801,0.057,calculated,8343.9631,21.4535,calculated,146.944261512,9.0,calculated
91,56,147,Ba,-60264.036,19.748,calculated,8183.2405,0.1343,calculated,6414.3615,22.466,calculated,146.9353039,21.2,calculated
90,57,147,La,-66678.397,10.712,calculated,8221.5536,0.0729,calculated,5335.5046,13.7248,calculated,146.9284178,11.5,calculated
89,58,147,Ce,-72013.902,8.58,calculated,8252.5274,0.0584,calculated,3430.1913,15.5317,calculated,146.9226899,9.211,calculated
88,59,147,Pr,-75444.093,15.855,calculated,8270.54,0.1079,calculated,2702.7013,15.8571,calculated,146.919007438,17.02,calculated
87,60,147,Nd,-78146.794,1.275,calculated,8283.6036,0.0087,calculated,895.1896,0.5664,calculated,146.916105969,1.368,calculated
86,61,147,Pm,-79041.984,1.288,calculated,8284.3712,0.0088,calculated,224.0638,0.294,calculated,146.915144944,1.382,calculated
85,62,147,Sm,-79266.048,1.262,calculated,8280.5734,0.0086,calculated,-1721.4367,2.2832,calculated,146.914904401,1.354,calculated
84,63,147,Eu,-77544.611,2.569,calculated,8263.5409,0.0175,calculated,-2187.6833,2.5273,calculated,146.91675244,2.758,calculated
83,64,147,Gd,-75356.928,1.887,calculated,8243.3366,0.0128,calculated,-4614.2543,8.1414,calculated,146.919101014,2.025,calculated
82,65,147,Tb,-70742.674,8.096,calculated,8206.625,0.0551,calculated,-6546.6266,11.9939,calculated,146.92405462,8.691,calculated
81,66,147,Dy,-64196.047,8.849,calculated,8156.768,0.0602,calculated,-8438.946,10.1644,calculated,146.931082712,9.5,calculated
80,67,147,Ho,-55757.101,5.001,calculated,8094.0381,0.034,calculated,-9149.2869,38.5173,calculated,146.940142293,5.368,calculated
79,68,147,Er,-46607.814,38.191,calculated,8026.476,0.2598,calculated,-10633.4071,38.7987,calculated,146.949964456,41.0,calculated
78,69,147,Tm,-35974.407,6.839,calculated,7948.8178,0.0465,calculated,,,absent,146.961379887,7.341,calculated
94,54,148,Xe,-38650.0,300.0,estimated,8047.0,2.0,estimated,8261.0,300.0,estimated,147.958508,322.0,estimated
93,55,148,Cs,-46910.95,13.041,calculated,8097.5469,0.0881,calculated,10633.9614,13.1258,calculated,147.949639026,14.0,calculated
92,56,148,Ba,-57544.911,1.49,calculated,8164.1118,0.0101,calculated,5163.8307,19.5252,calculated,147.938223,1.6,calculated
91,57,148,La,-62708.742,19.468,calculated,8193.7165,0.1315,calculated,7689.6824,22.4573,calculated,147.9326794,20.9,calculated
90,58,148,Ce,-70398.424,11.195,calculated,8240.3876,0.0756,calculated,2137.0282,12.5663,calculated,147.924424186,12.017,calculated
89,59,148,Pr,-72535.452,15.041,calculated,8249.5409,0.1016,calculated,4872.6133,15.0858,calculated,147.922129992,16.147,calculated
88,60,148,Nd,-77408.066,2.053,calculated,8277.1778,0.0139,calculated,-542.1891,5.8755,calculated,147.916899027,2.203,calculated
87,61,148,Pm,-76865.877,5.69,calculated,8268.2283,0.0384,calculated,2470.1898,5.6409,calculated,147.917481091,6.108,calculated
86,62,148,Sm,-79336.067,1.246,calculated,8279.6326,0.0084,calculated,-3038.5844,9.9657,calculated,147.914829233,1.337,calculated
85,63,148,Eu,-76297.482,9.961,calculated,8253.8155,0.0673,calculated,-28.063,9.9633,calculated,147.918091288,10.693,calculated
84,64,148,Gd,-76269.419,1.46,calculated,8248.3398,0.0099,calculated,-5732.4723,12.5208,calculated,147.918121414,1.566,calculated
83,65,148,Tb,-70536.947,12.463,calculated,8204.3207,0.0842,calculated,-2677.5501,9.5961,calculated,147.924275476,13.379,calculated
82,66,148,Dy,-67859.397,8.724,calculated,8180.943,0.0589,calculated,-9868.2304,84.2872,calculated,147.927149944,9.365,calculated
81,67,148,Ho,-57991.166,83.834,calculated,8108.9797,0.5664,calculated,-6512.1694,84.4583,calculated,147.937743925,90.0,calculated
80,68,148,Er,-51478.997,10.246,calculated,8059.6924,0.0692,calculated,-12713.963,14.4906,calculated,147.944735026,11.0,calculated
79,69,148,Tm,-38765.034,10.246,calculated,7968.5011,0.0692,calculated,-8535.0,400.0,estimated,147.958384026,11.0,calculated
78,70,148,Yb,-30230.0,400.0,estimated,7906.0,3.0,estimated,,,absent,147.967547,429.0,estimated
95,54,149,Xe,-33000.0,300.0,estimated,8009.0,2.0,estimated,10300.0,500.0,estimated,148.964573,322.0,estimated
94,55,149,Cs,-43300.0,400.0,estimated,8073.0,3.0,estimated,9531.0,400.0,estimated,148.953516,429.0,estimated
93,56,149,Ba,-52830.62,2.515,calculated,8131.8495,0.0169,calculated,7389.301,200.2781,calculated,148.943284,2.7,calculated
92,57,149,La,-60219.921,200.262,calculated,8176.1915,1.344,calculated,6450.0,200.0,calculated,148.935351259,214.99,calculated
91,58,149,Ce,-66669.921,10.246,calculated,8214.2294,0.0688,calculated,4369.4525,14.2296,calculated,148.9284269,11.0,calculated
90,59,149,Pr,-71039.373,9.874,calculated,8238.304,0.0663,calculated,3336.1617,10.0853,calculated,148.9237361,10.6,calculated
89,60,149,Nd,-74375.535,2.054,calculated,8255.4437,0.0138,calculated,1688.8697,2.4588,calculated,148.920154583,2.205,calculated
88,61,149,Pm,-76064.404,2.184,calculated,8261.5277,0.0147,calculated,1071.4936,1.8747,calculated,148.918341507,2.344,calculated
87,62,149,Sm,-77135.898,1.157,calculated,8263.4683,0.0078,calculated,-694.5812,3.7881,calculated,148.917191211,1.241,calculated
86,63,149,Eu,-76441.317,3.903,calculated,8253.556,0.0262,calculated,-1314.1437,4.1361,calculated,148.917936875,4.19,calculated
85,64,149,Gd,-75127.173,3.31,calculated,8239.4856,0.0222,calculated,-3638.5336,4.3388,calculated,148.919347666,3.553,calculated
84,65,149,Tb,-71488.639,3.629,calculated,8209.8153,0.0244,calculated,-3794.6493,9.1335,calculated,148.923253792,3.895,calculated
83,66,149,Dy,-67693.99,9.183,calculated,8179.0972,0.0616,calculated,-6048.1366,12.7928,calculated,148.927327516,9.858,calculated
82,67,149,Ho,-61645.854,11.985,calculated,8133.255,0.0804,calculated,-7904.2328,30.4066,calculated,148.933820457,12.866,calculated
81,68,149,Er,-53741.621,27.945,calculated,8074.9558,0.1875,calculated,-9801.0,202.0,estimated,148.942306,30.0,calculated
80,69,149,Tm,-43940.0,200.0,estimated,8004.0,1.0,estimated,-10611.0,361.0,estimated,148.952828,215.0,estimated
79,70,149,Yb,-33330.0,300.0,estimated,7927.0,2.0,estimated,,,absent,148.964219,322.0,estimated
96,54,150,Xe,-28990.0,300.0,estimated,7983.0,2.0,estimated,9180.0,500.0,estimated,149.968878,322.0,estimated
95,55,150,Cs,-38170.0,400.0,estimated,8039.0,3.0,estimated,11720.0,400.0,estimated,149.959023,429.0,estimated
94,56,150,Ba,-49889.799,5.682,calculated,8111.8405,0.0379,calculated,6421.3477,6.2138,calculated,149.9464411,6.1,calculated
93,57,150,La,-56311.147,2.515,calculated,8149.4339,0.0168,calculated,8535.7155,11.9641,calculated,149.9395475,2.7,calculated
92,58,150,Ce,-64846.863,11.697,calculated,8201.123,0.078,calculated,3453.6462,14.2913,calculated,149.930384032,12.556,calculated
91,59,150,Pr,-68300.509,9.015,calculated,8218.9316,0.0601,calculated,5379.4422,9.0682,calculated,149.926676391,9.677,calculated
90,60,150,Nd,-73679.951,1.129,calculated,8249.5789,0.0075,calculated,-82.6155,20.001,calculated,149.920901322,1.211,calculated
89,61,150,Pm,-73597.336,20.031,calculated,8243.8125,0.1335,calculated,3454.0,20.0,calculated,149.920990014,21.504,calculated
88,62,150,Sm,-77051.336,1.112,calculated,8261.6235,0.0074,calculated,-2258.9662,6.1803,calculated,149.917281993,1.193,calculated
87,63,150,Eu,-74792.369,6.231,calculated,8241.3481,0.0415,calculated,971.6815,3.5428,calculated,149.919707092,6.688,calculated
86,64,150,Gd,-75764.051,6.055,calculated,8242.6103,0.0404,calculated,-4658.2621,8.3784,calculated,149.918663949,6.5,calculated
85,65,150,Tb,-71105.789,7.371,calculated,8206.3396,0.0491,calculated,-1796.1707,8.3886,calculated,149.923664799,7.912,calculated
84,66,150,Dy,-69309.618,4.319,calculated,8189.1495,0.0288,calculated,-7363.7264,14.4629,calculated,149.925593068,4.636,calculated
83,67,150,Ho,-61945.892,14.168,calculated,8134.8423,0.0945,calculated,-4114.5689,13.591,calculated,149.933498353,15.209,calculated
82,68,150,Er,-57831.323,17.194,calculated,8102.1962,0.1146,calculated,-11340.0,196.0,estimated,149.937915524,18.458,calculated
81,69,150,Tm,-46491.0,196.0,estimated,8021.0,1.0,estimated,-7661.0,358.0,estimated,149.95009,210.0,estimated
80,70,150,Yb,-38830.0,300.0,estimated,7965.0,2.0,estimated,-14059.0,424.0,estimated,149.958314,322.0,estimated
79,71,150,Lu,-24771.0,300.0,estimated,7866.0,2.0,estimated,,,absent,149.973407,322.0,estimated
96,55,151,Cs,-34280.0,500.0,estimated,8013.0,3.0,estimated,10660.0,640.0,estimated,150.963199,537.0,estimated
95,56,151,Ba,-44940.0,400.0,estimated,8079.0,3.0,estimated,8370.0,591.0,estimated,150.951755,429.0,estimated
94,57,151,La,-53310.339,435.473,calculated,8129.0436,2.8839,calculated,7914.7191,435.833,calculated,150.942769,467.5,calculated
93,58,151,Ce,-61225.058,17.698,calculated,8176.2779,0.1172,calculated,5554.6233,21.1885,calculated,150.9342722,19.0,calculated
92,59,151,Pr,-66779.681,11.65,calculated,8207.8824,0.0772,calculated,4163.5021,11.6789,calculated,150.928309066,12.506,calculated
91,60,151,Nd,-70943.183,1.133,calculated,8230.2741,0.0075,calculated,2443.0767,4.4734,calculated,150.923839363,1.215,calculated
90,61,151,Pm,-73386.26,4.611,calculated,8241.2723,0.0305,calculated,1190.2198,4.4757,calculated,150.921216613,4.949,calculated
89,62,151,Sm,-74576.48,1.11,calculated,8243.9735,0.0074,calculated,76.6182,0.5375,calculated,150.919938859,1.191,calculated
88,63,151,Eu,-74653.098,1.166,calculated,8239.2998,0.0077,calculated,-464.1779,2.7791,calculated,150.919856606,1.251,calculated
87,64,151,Gd,-74188.92,2.993,calculated,8231.0446,0.0198,calculated,-2565.3796,3.7615,calculated,150.920354922,3.212,calculated
86,65,151,Tb,-71623.541,4.094,calculated,8208.8743,0.0271,calculated,-2871.1525,4.9455,calculated,150.92310897,4.395,calculated
85,66,151,Dy,-68752.388,3.247,calculated,8184.6789,0.0215,calculated,-5129.6421,8.7507,calculated,150.926191279,3.486,calculated
84,67,151,Ho,-63622.746,8.298,calculated,8145.5267,0.055,calculated,-5356.4558,18.442,calculated,150.931698176,8.908,calculated
83,68,151,Er,-58266.29,16.47,calculated,8104.8723,0.1091,calculated,-7494.6768,25.4292,calculated,150.937448567,17.681,calculated
82,69,151,Tm,-50771.613,19.375,calculated,8050.0576,0.1283,calculated,-9229.2615,300.1329,calculated,150.945494433,20.799,calculated
81,70,151,Yb,-41542.352,300.492,calculated,7983.7556,1.99,calculated,-11242.0,425.0,estimated,150.955402453,322.591,calculated
80,71,151,Lu,-30300.0,300.0,estimated,7904.0,2.0,estimated,,,absent,150.967471,322.0,estimated
97,55,152,Cs,-29130.0,500.0,estimated,7980.0,3.0,estimated,12480.0,640.0,estimated,151.968728,537.0,estimated
96,56,152,Ba,-41610.0,400.0,estimated,8057.0,3.0,estimated,7680.0,500.0,estimated,151.95533,429.0,estimated
95,57,152,La,-49290.0,300.0,estimated,8102.0,2.0,estimated,9690.0,361.0,estimated,151.947085,322.0,estimated
94,58,152,Ce,-58980.0,200.0,estimated,8161.0,1.0,estimated,4778.0,201.0,estimated,151.936682,215.0,estimated
93,59,152,Pr,-63758.07,18.537,calculated,8187.1049,0.122,calculated,6391.5934,30.7035,calculated,151.9315529,19.9,calculated
92,60,152,Nd,-70149.663,24.476,calculated,8224.0078,0.161,calculated,1104.805,18.5011,calculated,151.924691242,26.276,calculated
91,61,152,Pm,-71254.468,25.904,calculated,8226.1293,0.1704,calculated,3508.5089,25.8859,calculated,151.923505185,27.809,calculated
90,62,152,Sm,-74762.977,1.016,calculated,8244.0645,0.0067,calculated,-1874.4774,0.6857,calculated,151.919738646,1.09,calculated
89,63,152,Eu,-72888.5,1.166,calculated,8226.5854,0.0077,calculated,1818.8037,0.7002,calculated,151.92175098,1.252,calculated
88,64,152,Gd,-74707.304,1.007,calculated,8233.4042,0.0066,calculated,-3990.0,40.0,calculated,151.919798414,1.081,calculated
87,65,152,Tb,-70717.304,40.013,calculated,8202.0072,0.2632,calculated,-599.3405,40.2575,calculated,151.924081855,42.955,calculated
86,66,152,Dy,-70117.963,4.593,calculated,8192.9171,0.0302,calculated,-6513.3275,13.3176,calculated,151.924725274,4.93,calculated
85,67,152,Ho,-63604.636,12.528,calculated,8144.9193,0.0824,calculated,-3104.4174,9.815,calculated,151.931717618,13.449,calculated
84,68,152,Er,-60500.218,8.83,calculated,8119.3485,0.0581,calculated,-8779.9397,54.7434,calculated,151.935050347,9.478,calculated
83,69,152,Tm,-51720.279,54.027,calculated,8056.4387,0.3554,calculated,-5449.8923,139.62,calculated,151.944476,58.0,calculated
82,70,152,Yb,-46270.386,149.708,calculated,8015.4371,0.9849,calculated,-12848.0,246.0,estimated,151.950326699,160.718,calculated
81,71,152,Lu,-33422.0,196.0,estimated,7926.0,1.0,estimated,,,absent,151.96412,210.0,estimated
97,56,153,Ba,-36470.0,400.0,estimated,8023.0,3.0,estimated,9590.0,500.0,estimated,152.960848,429.0,estimated
96,57,153,La,-46060.0,300.0,estimated,8081.0,2.0,estimated,8850.0,361.0,estimated,152.950553,322.0,estimated
95,58,153,Ce,-54910.0,200.0,estimated,8134.0,1.0,estimated,6659.0,201.0,estimated,152.941052,215.0,estimated
94,59,153,Pr,-61568.49,11.882,calculated,8172.0371,0.0777,calculated,5761.8901,12.1896,calculated,152.933903511,12.755,calculated
93,60,153,Nd,-67330.38,2.747,calculated,8204.5832,0.018,calculated,3317.6236,9.3521,calculated,152.927717868,2.949,calculated
92,61,153,Pm,-70648.003,9.063,calculated,8221.1536,0.0592,calculated,1912.0559,9.0829,calculated,152.924156252,9.729,calculated
91,62,153,Sm,-72560.059,1.025,calculated,8228.5373,0.0067,calculated,807.4073,0.7063,calculated,152.922103576,1.1,calculated
90,63,153,Eu,-73367.466,1.171,calculated,8228.7011,0.0077,calculated,-484.5225,0.715,calculated,152.921236789,1.257,calculated
89,64,153,Gd,-72882.944,1.002,calculated,8220.4209,0.0066,calculated,-1569.334,3.8444,calculated,152.921756945,1.075,calculated
88,65,153,Tb,-71313.61,3.947,calculated,8205.0504,0.0258,calculated,-2170.4134,1.9335,calculated,152.923441694,4.237,calculated
87,66,153,Dy,-69143.197,4.001,calculated,8185.7514,0.0262,calculated,-4131.1229,6.1571,calculated,152.925771729,4.295,calculated
86,67,153,Ho,-65012.074,5.066,calculated,8153.6372,0.0331,calculated,-4545.3918,9.8899,calculated,152.930206671,5.438,calculated
85,68,153,Er,-60466.682,9.285,calculated,8118.8154,0.0607,calculated,-6494.0723,12.8812,calculated,152.93508635,9.967,calculated
84,69,153,Tm,-53972.61,11.979,calculated,8071.2571,0.0783,calculated,-6813.0,201.0,estimated,152.942058023,12.86,calculated
83,70,153,Yb,-47160.0,200.0,estimated,8022.0,1.0,estimated,-8784.0,250.0,estimated,152.949372,215.0,estimated
82,71,153,Lu,-38375.462,150.017,calculated,7959.0882,0.9805,calculated,-11075.0,335.0,estimated,152.958802248,161.05,calculated
81,72,153,Hf,-27300.0,300.0,estimated,7882.0,2.0,estimated,,,absent,152.970692,322.0,estimated
98,56,154,Ba,-32920.0,500.0,estimated,8001.0,3.0,estimated,8610.0,583.0,estimated,153.964659,537.0,estimated
97,57,154,La,-41530.0,300.0,estimated,8051.0,2.0,estimated,10690.0,361.0,estimated,153.955416,322.0,estimated
96,58,154,Ce,-52220.0,200.0,estimated,8116.0,1.0,estimated,5640.0,224.0,estimated,153.94394,215.0,estimated
95,59,154,Pr,-57859.602,100.005,calculated,8147.2994,0.6494,calculated,7720.0,100.0,calculated,153.937885165,107.36,calculated
94,60,154,Nd,-65579.602,1.025,calculated,8192.3491,0.0067,calculated,2687.0,25.0,calculated,153.929597404,1.1,calculated
93,61,154,Pm,-68266.602,25.021,calculated,8204.717,0.1625,calculated,4188.9614,25.055,calculated,153.926712791,26.861,calculated
92,62,154,Sm,-72455.564,1.305,calculated,8226.8379,0.0085,calculated,-717.1969,1.1019,calculated,153.922215756,1.4,calculated
91,63,154,Eu,-71738.367,1.188,calculated,8217.1006,0.0077,calculated,1967.9913,0.7535,calculated,153.922985699,1.275,calculated
90,64,154,Gd,-73706.358,0.994,calculated,8224.7996,0.0065,calculated,-3549.6514,45.2983,calculated,153.920872974,1.066,calculated
89,65,154,Tb,-70156.707,45.309,calculated,8196.6697,0.2942,calculated,237.308,45.9008,calculated,153.924683681,48.641,calculated
88,66,154,Dy,-70394.015,7.431,calculated,8193.1305,0.0483,calculated,-5754.6363,10.1785,calculated,153.92442892,7.977,calculated
87,67,154,Ho,-64639.378,8.216,calculated,8150.6825,0.0534,calculated,-2034.4045,9.4621,calculated,153.930606776,8.82,calculated
86,68,154,Er,-62604.974,4.961,calculated,8132.3919,0.0322,calculated,-8177.8316,14.9113,calculated,153.932790799,5.325,calculated
85,69,154,Tm,-54427.142,14.412,calculated,8074.209,0.0936,calculated,-4495.0495,13.9528,calculated,153.941570062,15.471,calculated
84,70,154,Yb,-49932.093,17.281,calculated,8039.9402,0.1122,calculated,-10265.0,201.0,estimated,153.946395696,18.551,calculated
83,71,154,Lu,-39667.0,201.0,estimated,7968.0,1.0,estimated,-6937.0,361.0,estimated,153.957416,216.0,estimated
82,72,154,Hf,-32730.0,300.0,estimated,7918.0,2.0,estimated,,,absent,153.964863,322.0,estimated
98,57,155,La,-37930.0,400.0,estimated,8028.0,3.0,estimated,9850.0,500.0,estimated,154.95928,429.0,estimated
97,58,155,Ce,-47780.0,300.0,estimated,8087.0,2.0,estimated,7635.0,300.0,estimated,154.948706,322.0,estimated
96,59,155,Pr,-55415.335,17.198,calculated,8131.0398,0.111,calculated,6868.4609,19.4725,calculated,154.940509193,18.462,calculated
95,60,155,Nd,-62283.796,9.154,calculated,8170.305,0.0591,calculated,4656.2095,10.2781,calculated,154.933135598,9.826,calculated
94,61,155,Pm,-66940.006,4.719,calculated,8195.2977,0.0304,calculated,3251.1999,4.9024,calculated,154.928136951,5.065,calculated
93,62,155,Sm,-70191.206,1.332,calculated,8211.2258,0.0086,calculated,1627.1314,1.2016,calculated,154.924646645,1.429,calculated
92,63,155,Eu,-71818.337,1.252,calculated,8216.676,0.0081,calculated,251.9612,0.8682,calculated,154.922899847,1.343,calculated
91,64,155,Gd,-72070.298,0.983,calculated,8213.2541,0.0063,calculated,-819.8588,9.7884,calculated,154.922629356,1.055,calculated
90,65,155,Tb,-71250.439,9.83,calculated,8202.9173,0.0634,calculated,-2094.5,1.8974,calculated,154.923509511,10.552,calculated
89,66,155,Dy,-69155.939,9.645,calculated,8184.357,0.0622,calculated,-3116.1405,16.5887,calculated,154.925758049,10.354,calculated
88,67,155,Ho,-66039.799,17.47,calculated,8159.2055,0.1127,calculated,-3830.6268,18.473,calculated,154.929103363,18.754,calculated
87,68,155,Er,-62209.172,6.074,calculated,8129.4444,0.0392,calculated,-5583.2509,11.5109,calculated,154.93321571,6.52,calculated
86,69,155,Tm,-56625.921,9.921,calculated,8088.376,0.064,calculated,-6123.3072,19.3388,calculated,154.939209576,10.651,calculated
85,70,155,Yb,-50502.614,16.6,calculated,8043.8234,0.1071,calculated,-7957.5578,25.4153,calculated,154.945783216,17.82,calculated
84,71,155,Lu,-42545.056,19.245,calculated,7987.4369,0.1242,calculated,-8235.0,301.0,estimated,154.954326005,20.66,calculated
83,72,155,Hf,-34310.0,300.0,estimated,7929.0,2.0,estimated,-10322.0,424.0,estimated,154.963167,322.0,estimated
82,73,155,Ta,-23988.0,300.0,estimated,7858.0,2.0,estimated,,,absent,154.974248,322.0,estimated
99,57,156,La,-33050.0,400.0,estimated,7997.0,3.0,estimated,11769.0,500.0,estimated,155.964519,429.0,estimated
98,58,156,Ce,-44820.0,300.0,estimated,8068.0,2.0,estimated,6630.0,300.0,estimated,155.951884,322.0,estimated
97,59,156,Pr,-51449.307,1.025,calculated,8105.2337,0.0066,calculated,8752.8229,1.6585,calculated,155.9447669,1.1,calculated
96,60,156,Nd,-60202.13,1.304,calculated,8156.3265,0.0084,calculated,3964.7175,1.7642,calculated,155.935370358,1.4,calculated
95,61,156,Pm,-64166.847,1.188,calculated,8176.7263,0.0076,calculated,5193.8878,8.6044,calculated,155.931114059,1.275,calculated
94,62,156,Sm,-69360.735,8.522,calculated,8205.0054,0.0546,calculated,722.109,7.9025,calculated,155.925538191,9.148,calculated
93,63,156,Eu,-70082.844,3.532,calculated,8204.6192,0.0226,calculated,2452.4891,3.4083,calculated,155.924762976,3.791,calculated
92,64,156,Gd,-72535.333,0.983,calculated,8215.3253,0.0063,calculated,-2444.323,3.6774,calculated,155.92213012,1.054,calculated
91,65,156,Tb,-70091.01,3.768,calculated,8194.6415,0.0242,calculated,438.3762,3.6789,calculated,155.924754209,4.044,calculated
90,66,156,Dy,-70529.386,0.988,calculated,8192.4366,0.0063,calculated,-4990.9836,38.4111,calculated,155.924283593,1.06,calculated
89,67,156,Ho,-65538.403,38.424,calculated,8155.428,0.2463,calculated,-1326.7201,45.6391,calculated,155.929641634,41.249,calculated
88,68,156,Er,-64211.683,24.629,calculated,8141.9084,0.1579,calculated,-7377.2657,26.7099,calculated,155.931065926,26.44,calculated
87,69,156,Tm,-56834.417,14.279,calculated,8089.6032,0.0915,calculated,-3568.8794,12.5484,calculated,155.938985746,15.328,calculated
86,70,156,Yb,-53265.538,9.308,calculated,8061.7107,0.0597,calculated,-9565.988,54.9162,calculated,155.942817096,9.992,calculated
85,71,156,Lu,-43699.55,54.122,calculated,7995.3752,0.3469,calculated,-5880.0352,139.6908,calculated,155.953086606,58.102,calculated
84,72,156,Hf,-37819.514,149.74,calculated,7952.6676,0.9599,calculated,-11819.0,335.0,estimated,155.959399083,160.752,calculated
83,73,156,Ta,-26001.0,300.0,estimated,7872.0,2.0,estimated,,,absent,155.972087,322.0,estimated
100,57,157,La,-29070.0,300.0,estimated,7972.0,2.0,estimated,10860.0,500.0,estimated,156.968792,322.0,estimated
99,58,157,Ce,-39930.0,400.0,estimated,8037.0,3.0,estimated,8504.0,400.0,estimated,156.957133,429.0,estimated
98,59,157,Pr,-48434.806,3.167,calculated,8085.817,0.0202,calculated,8059.3109,3.8207,calculated,156.9480031,3.4,calculated
97,60,157,Nd,-56494.117,2.137,calculated,8132.1671,0.0136,calculated,5802.9994,7.3246,calculated,156.939351074,2.294,calculated
96,61,157,Pm,-62297.116,7.006,calculated,8164.1458,0.0446,calculated,4380.5376,8.265,calculated,156.933121298,7.521,calculated
95,62,157,Sm,-66677.654,4.434,calculated,8187.0642,0.0282,calculated,2781.4807,6.1191,calculated,156.928418598,4.759,calculated
94,63,157,Eu,-69459.134,4.234,calculated,8199.7975,0.027,calculated,1364.7614,4.1973,calculated,156.925432556,4.545,calculated
93,64,157,Gd,-70823.896,0.977,calculated,8203.5072,0.0062,calculated,-60.0473,0.2972,calculated,156.923967424,1.048,calculated
92,65,157,Tb,-70763.848,1.018,calculated,8198.1416,0.0065,calculated,-1339.1791,5.1297,calculated,156.924031888,1.092,calculated
91,66,157,Dy,-69424.669,5.154,calculated,8184.6287,0.0328,calculated,-2591.8068,23.7839,calculated,156.925469555,5.532,calculated
90,67,157,Ho,-66832.862,23.469,calculated,8163.1373,0.1495,calculated,-3419.2146,33.6675,calculated,156.928251974,25.194,calculated
89,68,157,Er,-63413.648,26.505,calculated,8136.3757,0.1688,calculated,-4704.369,38.5152,calculated,156.931922652,28.454,calculated
88,69,157,Tm,-58709.279,27.945,calculated,8101.4285,0.178,calculated,-5289.3667,29.9971,calculated,156.936973,30.0,calculated
87,70,157,Yb,-53419.912,10.905,calculated,8062.7551,0.0695,calculated,-6980.0942,14.2406,calculated,156.94265136799999,11.706,calculated
86,71,157,Lu,-46439.818,12.074,calculated,8013.3128,0.0769,calculated,-7585.0,201.0,estimated,156.950144807,12.961,calculated
85,72,157,Hf,-38855.0,200.0,estimated,7960.0,1.0,estimated,-9259.0,250.0,estimated,156.958288,215.0,estimated
84,73,157,Ta,-29595.948,150.052,calculated,7896.0608,0.9557,calculated,-9906.0,427.0,estimated,156.968227445,161.087,calculated
83,74,157,W,-19690.0,400.0,estimated,7828.0,3.0,estimated,,,absent,156.978862,429.0,estimated
100,58,158,Ce,-36540.0,400.0,estimated,8015.0,3.0,estimated,7610.0,500.0,estimated,157.960773,429.0,estimated
99,59,158,Pr,-44150.0,300.0,estimated,8059.0,2.0,estimated,9685.0,300.0,estimated,157.952603,322.0,estimated
98,60,158,Nd,-53835.123,1.304,calculated,8114.9529,0.0083,calculated,5271.0196,1.5776,calculated,157.94220562,1.4,calculated
97,61,158,Pm,-59106.143,0.888,calculated,8143.3622,0.0056,calculated,6145.7062,4.8634,calculated,157.936546948,0.953,calculated
96,62,158,Sm,-65251.849,4.782,calculated,8177.3075,0.0303,calculated,2018.6123,5.1146,calculated,157.929949262,5.133,calculated
